Lat,Long,h_tx_asl,h_rx_asl,delta_h_tx_rx,d_2d,d_3d,freq,avg_building_heigth,avg_vegetation_heigth,avg_ground_heigth,building_depth_2d,building_depth_3d,n_building,vegetation_depth_2d,vegetation_depth_3d,n_vegetation,avg_diffracted_comp,std_building,std_vegetation,std_ground,pl
-22.98822589,-43.22830802,71,9.682123184,61.31787682,127.2944618,141.29318,3500,17.436,12.84,17.256,17,18.8778,3,4,4.44183,2,35.671,17.475,19.538,12.731,102.36518
-22.98824847,-43.22828915,71,9.679143906,61.32085609,126.4173871,140.50482,3500,18.35,12.037,17.332,17,18.9063,2,4,4.44855,2,35.545,17.349,19.21,12.793,92.39418
-22.9882654,-43.22827499,71,9.734264374,61.26573563,125.8079226,139.93257,3500,19.256,11.31,17.38,18,20.0458,2,5,5.56827,1,37.245,17.289,18.94,12.83,109.51818
-22.98828233,-43.22826084,71,9.732774734,61.26722527,125.2405698,139.42336,3500,19.407,11.841,17.433,19,21.1595,2,8,8.90927,1,36.911,17.314,19.497,12.867,105.24418
-22.98828798,-43.22825612,71,9.818435669,61.18156433,125.0609107,139.22433,3500,18.687,12.29,17.433,16,17.8137,1,8,8.90686,1,36.939,17.493,19.547,12.871,111.21118
-22.98829362,-43.2282514,71,9.731285095,61.2687149,124.8860152,139.10562,3500,19.376,11.718,17.463,16,17.8465,1,9,10.0387,1,36.91,17.301,19.52,12.896,111.24918
-22.98829927,-43.22824668,71,9.81694603,61.18305397,124.7159034,138.91516,3500,19.398,11.548,17.499,14,15.6114,1,9,10.0359,1,36.939,17.339,19.474,12.92,108.61618
-22.98830491,-43.22824196,71,9.758845329,61.24115467,124.5505949,138.7924,3500,19.142,11.788,17.505,14,15.6143,1,9,10.0378,1,36.92,17.382,19.526,12.917,105.14618
-22.98831056,-43.22823725,71,9.844507217,61.15549278,124.3901089,138.61058,3500,18.97,12.264,17.51,16,17.8401,2,9,10.035,1,34.961,17.542,19.528,12.942,96.86618
-22.9883162,-43.22823253,71,9.872066498,61.1279335,124.2344641,138.45876,3500,19.712,11.41,17.537,15,16.7236,1,9,10.0342,1,35.093,17.996,18.814,12.941,99.383179
-22.98832749,-43.22822309,71,9.769636154,61.23036385,123.9377703,138.23795,3500,18.625,12.438,17.563,18,20.107,2,7,7.81939,1,34.942,18.102,19.203,12.96,86.782181
-22.98835007,-43.22820422,71,9.670850754,61.32914925,123.4032453,137.80284,3500,20.556,9.994,17.658,25,27.9353,2,1,1.11741,1,32.168,17.429,18.917,13.033,97.786179
-22.98837264,-43.22818535,71,9.228744507,61.77125549,122.9480412,137.59328,3500,19.894,10.484,17.711,23,25.7801,2,0,0,0,36.807,17.494,19.281,13.095,90.88118
-22.98840087,-43.22816175,71,9.116161346,61.88383865,122.4919136,137.23659,3500,19.569,10.526,17.789,23,25.7897,1,0,0,0,38.372,17.222,19.516,13.153,88.525177
-22.98843601,-43.22813237,71,9.055555344,61.94444466,122.1019783,136.91606,3500,19.553,9.7785,17.882,24,26.9164,1,0,0,0,36.764,17.157,18.747,13.257,78.586182
-22.98846604,-43.22810721,71,9.126262665,61.87373734,121.929344,136.73012,3500,18.18,8.6414,18.006,21,23.5863,2,1,1.12316,1,37.709,15.571,19.092,13.34,76.632179
-22.98849192,-43.22807708,71,8.863636017,62.13636398,122.5871101,137.43553,3500,14.913,10.691,18.067,4,4.48892,2,7,7.85561,1,37.621,15.089,19.438,13.466,76.832176
-22.98851543,-43.22804716,71,9.268341064,61.73165894,123.5199282,138.08682,3500,16.573,8.0605,18.059,0,0,0,0,0,0,40.134,13.365,19.411,13.488,81.410179
-22.98854508,-43.22800943,71,9.796302795,61.2036972,124.8713868,139.06386,3500,16.442,10.27,18.201,1,1.11518,1,5,5.57588,1,33.599,13.916,20.374,13.552,76.92218
-22.98857198,-43.22797014,71,10.39345932,60.60654068,126.7051806,140.4541,3500,15.581,10.559,18.284,0,0,0,4,4.43868,1,40.697,14.342,20.335,13.512,83.39418
-22.98859254,-43.22793709,71,10.80455017,60.19544983,128.4921371,141.89334,3500,16.401,9.7248,18.426,0,0,0,0,0,0,40.902,15.02,19.724,13.542,80.511177
-22.98860836,-43.22790693,71,11.3325119,59.6674881,130.3653595,143.37132,3500,16.405,8.8073,18.499,0,0,0,0,0,0,41.166,14.624,19.36,13.509,81.608177
-22.98861659,-43.2278796,71,11.59649277,59.40350723,132.4285056,145.1416,3500,16.293,9.1729,18.485,4,4.38639,2,4,4.38639,1,33.365,14.675,19.343,13.472,80.535179
-22.98862306,-43.22785381,71,11.78527451,59.21472549,134.4688908,146.92946,3500,15.159,10.041,18.453,0,0,0,5,5.46643,1,41.393,14.897,19.355,13.41,82.393181
-22.98862861,-43.22783022,71,11.74285698,59.25714302,136.3743437,148.6922,3500,15.31,9.9161,18.471,0,0,0,8,8.72641,1,41.371,14.925,19.343,13.389,78.046181
-22.98863099,-43.22780943,71,11.72439575,59.27560425,138.1868806,150.3636,3500,15.058,9.8723,18.437,0,0,0,5,5.44173,1,41.362,14.752,19.509,13.374,82.517181
-22.9886326,-43.22779534,71,11.71824169,59.28175831,139.4200854,151.50012,3500,14.62,10.291,18.398,0,0,0,6,6.52289,1,41.359,14.776,19.496,13.34,83.634178
-22.98863413,-43.22778193,71,11.70285702,59.29714298,140.5984679,152.59122,3500,14.979,9.7518,18.39,0,0,0,5,5.43,1,41.351,14.818,19.311,13.345,79.379181
-22.98861737,-43.22776418,71,11.7145052,59.2854948,143.0257037,154.8261,3500,14.481,9.8108,18.131,0,0,0,4,4.33014,1,41.357,14.725,19.255,13.264,81.439178
-22.98861552,-43.22776394,71,11.70835209,59.29164791,143.1336695,154.92819,3500,14.484,9.6788,18.108,0,0,0,4,4.3302,1,41.354,14.769,19.216,13.265,89.220177
-22.9886146,-43.22776383,71,11.72923088,59.27076912,143.1877345,154.97017,3500,14.592,9.6128,18.101,0,0,0,4,4.32998,1,41.365,14.711,19.233,13.261,81.358177
-22.98862399,-43.22774284,71,11.69296741,59.30703259,144.7094576,156.39102,3500,14.607,9.4879,18.129,0,0,0,3,3.24447,2,41.346,14.853,19.101,13.263,81.025177
-22.98861549,-43.22772594,71,11.68373585,59.31626415,146.6748525,158.21483,3500,14.653,9.0629,17.993,0,0,0,0,0,0,41.342,14.929,18.841,13.227,83.373177
-22.98860443,-43.22770397,71,11.70395565,59.29604435,149.2301064,160.57909,3500,14.332,9.1683,17.816,0,0,0,0,0,0,41.352,14.588,18.966,13.165,78.781181
-22.98859082,-43.22767694,71,11.70945072,59.29054928,152.3753886,163.50421,3500,14.082,9.0703,17.617,0,0,0,0,0,0,41.355,14.585,18.808,13.108,84.045181
-22.98857551,-43.22764652,71,11.70571423,59.29428577,155.9142709,166.80849,3500,13.691,8.9728,17.366,0,0,0,0,0,0,41.353,14.613,18.557,13.025,81.976181
-22.98856106,-43.22761779,71,11.72593403,59.27406597,159.2569492,169.92996,3500,13.848,8.7484,17.149,0,0,0,0,0,0,41.363,14.35,18.375,12.939,85.306175
-22.98863703,-43.22758826,71,11.53736305,59.46263695,158.7496497,169.52066,3500,14.017,8.3381,17.722,0,0,0,0,0,0,41.269,14.833,18.556,13.13,87.832176
-22.98862453,-43.22756003,71,11.55450535,59.44549465,161.9467869,172.51241,3500,13.986,8.054,17.524,0,0,0,0,0,0,41.277,14.729,18.395,13.07,84.689178
-22.98861083,-43.22752919,71,11.55076885,59.44923115,165.442469,175.79938,3500,13.974,7.8976,17.318,0,0,0,0,0,0,41.275,14.548,18.194,13.001,82.223183
-22.98858599,-43.22749551,71,11.57098866,59.42901134,169.666905,179.77393,3500,13.549,8.4647,16.995,0,0,0,0,0,0,41.285,13.702,18.481,12.862,83.596176
-22.98854178,-43.22746334,71,11.64461517,59.35538483,174.5899892,184.4037,3500,13.233,8.3643,16.619,0,0,0,0,0,0,41.322,13.822,17.921,12.733,82.370178
-22.98853508,-43.22742171,71,11.61384583,59.38615417,178.8054576,188.40941,3500,12.844,8.3282,16.431,0,0,0,0,0,0,41.307,13.534,18.062,12.644,82.99218
-22.98851916,-43.22738422,71,11.62483501,59.37516499,183.028782,192.41867,3500,12.601,8.2065,16.254,0,0,0,0,0,0,41.312,13.451,17.869,12.562,86.817177
-22.98850325,-43.22734674,71,11.64505482,59.35494518,187.2522258,196.43423,3500,12.426,8.0439,16.06,0,0,0,0,0,0,41.323,13.376,17.683,12.484,83.136177
-22.98848733,-43.22730925,71,11.63516521,59.36483479,191.475781,200.46736,3500,12.496,7.5612,15.886,0,0,0,0,0,0,41.318,13.488,17.27,12.391,83.565178
-22.9884661,-43.22725926,71,11.27336311,59.72663689,197.1073491,205.9577,3500,12.145,7.4116,15.652,0,0,0,0,0,0,41.137,13.42,17.072,12.277,86.038177
-22.98845018,-43.22722178,71,10.83661842,60.16338158,201.3311375,210.1282,3500,12.175,7.2401,15.475,0,0,0,0,0,0,40.918,13.276,16.915,12.205,83.907181
-22.98843427,-43.22718429,71,10.39987278,60.60012722,205.5550157,214.30174,3500,11.987,7.1056,15.306,0,0,0,0,0,0,40.7,13.194,16.78,12.141,81.940178
-22.98841304,-43.22713431,71,9.963127136,61.03687286,211.1869836,219.83049,3500,11.879,6.8325,15.073,0,0,0,0,0,0,40.482,13.073,16.581,12.053,82.215179
-22.98839182,-43.22708432,71,9.663891792,61.33610821,216.81909,225.32785,3500,11.395,6.8721,14.824,0,0,0,0,0,0,40.332,13.019,16.473,11.969,83.752182
-22.9883759,-43.22704683,71,9.638231277,61.36176872,221.0432542,229.40224,3500,11.44,6.7793,14.674,0,0,0,0,0,0,40.319,12.515,16.584,11.922,83.11718
-22.98835468,-43.22699685,71,9.677333832,61.32266617,226.6755782,234.82396,3500,11.254,6.7258,14.437,0,0,0,0,0,0,40.339,12.334,16.432,11.812,83.442177
-22.98833876,-43.22695936,71,9.742872238,61.25712776,230.8998952,238.88741,3500,11.092,6.6797,14.288,0,0,0,0,0,0,40.371,12.292,16.317,11.759,83.504181
-22.98831753,-43.22690938,71,9.924564362,61.07543564,236.5324101,244.29037,3500,11.246,6.4821,14.101,0,0,0,0,0,0,40.462,12.041,16.133,11.673,87.840179
-22.98829631,-43.22685939,71,10.11006546,60.88993454,242.1650236,249.70279,3500,10.972,6.3827,13.919,0,0,0,0,0,0,40.555,12.022,15.964,11.589,88.861176
-22.98828039,-43.22682191,71,10.28413963,60.71586037,246.3895446,253.76016,3500,11.011,6.2308,13.8,0,0,0,0,0,0,40.642,11.883,15.867,11.529,88.529182
-22.98825917,-43.22677192,71,10.46964073,60.53035927,252.0223151,259.18945,3500,10.792,6.1571,13.643,0,0,0,0,0,0,40.735,11.854,15.71,11.441,88.729179
-22.98824325,-43.22673443,71,10.63228607,60.36771393,256.246947,263.26178,3500,10.781,6.0438,13.539,0,0,0,0,0,0,40.816,11.724,15.598,11.379,89.466179
-22.98822202,-43.22668445,71,10.82540703,60.17459297,261.8798571,268.70438,3500,10.94,5.8101,13.402,0,0,0,0,0,0,40.913,11.654,15.34,11.293,87.376183
-22.98820611,-43.22664696,71,10.92387199,60.07612801,266.1045878,272.80173,3500,10.611,5.8811,13.298,0,0,0,0,0,0,40.962,11.569,15.356,11.224,88.141182
-22.98819019,-43.22660947,71,11.09794521,59.90205479,270.3293577,276.88666,3500,10.754,5.6596,13.211,0,0,0,0,0,0,41.049,11.551,15.142,11.158,86.943176
-22.98817427,-43.22657199,71,11.27201843,59.72798157,274.5541648,280.97583,3500,10.769,5.5273,13.129,0,0,0,0,0,0,41.136,11.445,15.033,11.094,86.816177
-22.98815835,-43.2265345,71,11.36667442,59.63332558,278.7790076,285.08572,3500,10.812,5.4355,13.053,0,0,0,0,0,0,41.183,11.333,14.944,11.03,89.140182
-22.98814243,-43.22649701,71,11.54074764,59.45925236,283.0038844,289.18265,3500,10.56,5.4067,12.972,0,0,0,0,0,0,41.27,11.364,14.85,10.956,86.638176
-22.98812121,-43.22644703,71,11.70493221,59.29506779,288.6371039,294.6647,3500,10.626,5.2933,12.885,0,0,0,0,0,0,41.352,11.21,14.713,10.875,86.593178
-22.98810529,-43.22640954,71,11.62818909,59.37181091,292.8620546,298.81967,3500,10.703,5.1365,12.81,0,0,0,0,0,0,41.314,11.115,14.589,10.808,88.751183
