pl_target,pl_pred_ann,pl_pred_svr,pl_pred_rf,pl_pred_gtb
113.45246,124.875524,121.1213385,121.071278,122.5195247
123.91046,126.5625971,122.803788,121.071278,122.1433663
126.51646,125.3417017,121.5999868,119.7392606,122.1433663
120.88146,126.0525088,122.0014883,119.5407968,122.2891958
121.99947,124.8433255,122.421828,121.066105,122.1433663
118.27747,123.5549649,122.5291328,121.2512855,124.2679254
120.00446,122.4186675,122.1952548,121.2512855,124.2679254
116.07646,123.9837066,122.2614002,121.2512855,124.2679254
122.25646,123.0090711,122.2700094,121.2512855,124.8238035
119.44846,124.205982,123.3292332,121.2512855,124.3697093
125.38146,123.0013281,123.0183863,121.2512855,124.3697093
120.10947,123.6565518,122.6222702,121.2512855,122.6213086
123.24346,127.0257567,122.5340563,121.071278,123.4967469
124.88046,123.8419565,121.0315478,120.8860975,123.0238015
122.46947,125.2684211,122.7376745,115.7585734,122.2643843
119.33646,121.47739,121.5275467,115.7585734,122.3465923
134.80547,121.3082768,121.8954582,115.9437538,122.7227507
123.89846,120.2944922,122.1248806,121.071278,123.8456247
121.08047,122.1626675,121.5952012,121.071278,123.9562096
129.92847,123.3913421,122.2356838,121.2512855,125.1475297
120.03046,121.0772748,121.8873003,121.066105,125.8257075
126.00946,122.9173425,123.4531211,121.066105,125.9307654
123.91946,121.5987585,123.5646067,118.191954,124.2365479
118.34246,122.8145554,122.4852807,121.066105,125.1133663
130.31247,123.0918032,122.8218443,121.2512855,125.1133663
126.08047,122.4348135,122.6099587,121.2512855,125.4895247
116.98547,123.2585081,123.3107844,121.2512855,126.2351491
127.57446,121.6651774,121.703355,121.2512855,126.2351491
118.18446,122.0575201,123.5179847,121.2512855,126.0486277
137.70746,119.9903482,122.3537954,121.2512855,126.3437301
121.71947,118.504805,121.5406323,121.2512855,126.8908489
124.05946,119.2711908,122.632521,121.2512855,126.6866715
130.65346,119.2732881,122.3896189,121.2512855,126.6866715
121.16747,120.7215405,123.7332859,121.2512855,127.0032817
117.40047,121.2427693,123.8556418,121.2512855,127.3354162
115.37347,122.1883984,122.2953667,121.2512855,127.0403137
120.24747,124.0996197,122.8121037,121.2512855,127.8577128
124.98846,125.8959447,124.4657384,121.2512855,127.8577128
123.71746,123.5082097,122.8071424,121.066105,127.5603888
119.92947,125.6041991,124.0517727,121.2512855,127.7679398
128.55046,125.1622596,123.6692485,121.2512855,127.7679398
126.97346,122.1494818,121.6580057,121.2512855,128.1440982
125.39246,123.7491546,122.3880597,121.2512855,128.1440982
127.30746,123.1140488,122.5784733,121.2512855,128.1440982
121.24847,123.4044112,123.9491362,121.066105,127.7679398
128.69147,123.1608831,124.3075819,121.066105,127.8467742
113.84547,124.2354277,124.9581332,121.2512855,128.1440982
132.15747,123.7604851,124.6636626,121.2512855,127.7679398
117.74146,124.1728828,124.9489099,121.066105,127.7679398
125.27547,119.3315886,124.4676081,121.2512855,127.5123129
119.19247,118.2161529,124.3628735,121.2512855,127.5123129
119.71446,123.1487061,124.7266581,121.2512855,128.1440982
116.77647,119.8502213,125.1520878,121.2512855,127.8884713
120.34547,121.1341027,124.3393901,121.066105,127.5123129
123.63847,122.1481622,124.4635713,121.066105,127.5123129
120.02346,123.5065403,124.9136372,121.066105,127.5123129
123.70046,123.8891274,124.9869513,121.066105,127.5123129
125.55247,125.3263386,125.539298,121.066105,127.5123129
125.78847,125.1067843,125.8973376,121.2512855,127.5123129
115.24546,122.7686442,124.399194,121.2512855,127.5123129
121.07246,123.1166075,124.6294765,121.2512855,127.2259275
118.88747,124.706086,124.2683659,121.2512855,126.4085284
133.08946,125.4448765,123.7484694,121.2512855,126.4085284
119.08347,125.4043899,123.7343712,121.2512855,126.4085284
126.51247,122.2874784,125.1428707,121.2512855,126.4085284
125.63246,126.279471,123.7469466,121.2512855,126.7846868
123.32846,124.6267899,124.4221974,121.2512855,126.7846868
124.84146,124.3721802,124.4413987,121.2512855,126.7846868
122.22746,120.5523829,125.0104941,121.066105,126.4085284
123.75746,122.9043506,124.4143782,121.066105,126.4085284
120.80946,124.6083049,124.8404323,121.066105,126.4085284
119.50846,124.3399293,124.891488,121.066105,126.4085284
121.12746,123.3321145,124.7822251,121.066105,123.9475122
121.64846,121.5239594,124.6432999,118.191954,123.0706939
120.28847,122.34162,124.1463822,118.191954,123.0706939
120.29646,124.1176736,123.8323744,121.066105,123.9475122
124.17546,123.4243975,124.1233999,121.066105,123.9475122
125.13747,123.8017892,123.9290013,121.066105,123.9475122
116.91347,124.1353613,123.8134769,121.066105,123.9475122
119.06446,123.4034801,124.4777471,121.066105,123.8424544
120.09447,123.7548134,124.0177237,121.066105,123.6724726
119.65147,125.4567108,125.9849762,118.191954,125.3101822
