Lat,Long,h_tx_asl,h_rx_asl,delta_h_tx_rx,d_2d,d_3d,freq,avg_building_heigth,avg_vegetation_heigth,avg_ground_heigth,building_depth_2d,building_depth_3d,n_building,vegetation_depth_2d,vegetation_depth_3d,n_vegetation,avg_diffracted_comp,std_building,std_vegetation,std_ground,pl
-22.97944259,-43.23018675,53,18.54101181,34.45898819,175.5566609,178.90657,750,11.544,10.006,14.391,0,0,0,0,0,0,35.771,10.451,14.149,0.97193,66.434464
-22.97942597,-43.23015082,53,18.7022934,34.2977066,179.3405276,182.59068,750,10.219,11.24,14.304,0,0,0,0,0,0,35.851,10.613,14.191,1.0298,83.712463
-22.97939273,-43.23007894,53,18.35577011,34.64422989,186.9505418,190.13344,750,9.4492,11.318,14.155,0,0,0,0,0,0,35.678,10.347,14.332,1.1097,90.693466
-22.97937278,-43.23003581,53,17.08871269,35.91128731,191.5413519,194.87871,750,9.6445,11.47,14.052,0,0,0,0,0,0,35.044,10.138,14.305,1.1504,94.097466
-22.97933622,-43.22995674,53,15.14634132,37.85365868,200.0011578,203.55186,750,9.5597,11.02,13.831,3,3.05326,2,0,0,0,28.382,9.7899,14.118,1.2314,66.618462
-22.9793063,-43.22989205,53,15.13262177,37.86737823,206.9604858,210.39626,750,9.686,10.641,13.648,2,2.03351,1,0,0,0,28.044,9.6726,13.808,1.3102,66.249466
-22.97928303,-43.22984174,53,15.10975647,37.89024353,212.3944321,215.7477,750,9.7406,9.5904,13.521,1,1.01585,1,0,0,0,28.037,9.5114,13.25,1.3554,74.601463
-22.97944912,-43.22980526,53,15.41310978,37.58689022,214.5296686,217.7975,750,14.803,7.3419,14.361,10,10.1531,3,0,0,0,37.804,12.005,12.687,1.1379,66.697464
-22.97943079,-43.22976052,53,15.40701199,37.59298801,219.1990711,222.39934,750,10.915,9.0136,14.212,0,0,0,0,0,0,34.204,10.045,13.243,1.1912,86.873466
-22.97941041,-43.22971081,53,15.40091419,37.59908581,224.4046895,227.53276,750,11.136,8.9222,14.065,0,0,0,0,0,0,34.2,9.994,13.39,1.2412,91.324463
-22.97939057,-43.22965834,53,15.39710331,37.60289669,229.9053818,232.96022,750,10.786,9.3565,13.935,0,0,0,0,0,0,34.199,9.8762,13.401,1.2815,94.526466
-22.97937122,-43.22960543,53,15.39329243,37.60670757,235.4627315,238.44698,750,9.9089,9.8252,13.812,0,0,0,0,0,0,34.197,9.7285,13.535,1.312,90.435463
-22.97935062,-43.22954909,53,15.39011574,37.60988426,241.3927073,244.30502,750,9.6674,9.8719,13.694,0,0,0,1,1.0121,1,34.195,9.6865,13.523,1.3376,85.550461
-22.97932354,-43.22948583,53,15.33643532,37.66356468,248.1079829,250.95042,750,10.014,9.7671,13.556,0,0,0,0,0,0,34.168,9.4586,13.417,1.3673,85.567467
-22.97929511,-43.22942423,53,15.26682472,37.73317528,254.6930648,257.47302,750,9.5637,9.9078,13.426,0,0,0,0,0,0,34.133,9.2825,13.334,1.3867,78.111465
-22.97926667,-43.22936263,53,15.15118504,37.84881496,261.3026477,264.02957,750,9.5802,9.4523,13.304,0,0,0,0,0,0,34.076,9.1787,13.146,1.4053,81.910461
-22.9792406,-43.22930617,53,15.01658726,37.98341274,267.3814038,270.06583,750,9.7826,9.1698,13.2,0,0,0,0,0,0,34.008,9.0352,12.913,1.4205,84.136467
-22.97921217,-43.22924457,53,14.90094757,38.09905243,274.0330237,276.66882,750,9.46,8.7809,13.095,0,0,0,0,0,0,33.95,8.9893,12.49,1.4352,83.142464
-22.9791861,-43.2291881,53,14.79857826,38.20142174,280.1476556,282.74026,750,9.5952,8.1379,13.002,0,0,0,0,0,0,33.899,8.9057,12.166,1.4489,73.941467
-22.97925957,-43.2291232,53,14.84594631,38.15405369,285.7541824,288.2901,750,9.6958,8.8147,13.202,0,0,0,0,0,0,33.923,8.8688,12.949,1.4355,76.256462
-22.97923799,-43.22906269,53,14.74324322,38.25675678,292.1721364,294.66614,750,9.6502,8.6433,13.113,0,0,0,0,0,0,33.872,8.8375,12.751,1.4481,79.041466
-22.97921911,-43.22900975,53,14.64414406,38.35585594,297.7959354,300.25589,750,9.5403,8.6628,13.039,0,0,0,0,0,0,33.822,8.7874,12.572,1.4605,70.38446
-22.97920023,-43.2289568,53,14.54684639,38.45315361,303.4268445,305.8537,750,9.4285,8.6447,12.97,0,0,0,0,0,0,33.773,8.7848,12.38,1.4725,73.140465
-22.97918135,-43.22890385,53,14.63637066,38.36362934,309.0644752,311.43637,750,9.0008,8.5387,12.902,0,0,0,0,0,0,33.818,8.8372,12.171,1.4831,75.080467
-22.97916248,-43.22885091,53,14.69548893,38.30451107,314.7084663,317.03101,750,9.2968,8.4667,12.838,1,1.00741,1,0,0,0,28.232,8.6525,12.072,1.4928,77.647461
-22.9791409,-43.2287904,53,14.78512478,38.21487522,321.1661001,323.43167,750,9.1436,7.9526,12.767,0,0,0,1,1.00706,1,33.893,8.5901,11.705,1.5031,78.837463
-22.97912202,-43.22873745,53,14.84424305,38.15575695,326.8226182,329.04236,750,9.8433,6.7599,12.709,0,0,0,0,0,0,33.922,8.3462,11.514,1.511,77.682465
-22.97910314,-43.22868451,53,14.90336132,38.09663868,332.4845151,334.65997,750,9.4414,6.765,12.651,0,0,0,0,0,0,33.952,8.3039,11.499,1.517,77.285461
-22.97908426,-43.22863156,53,14.99299717,38.00700283,338.1515208,340.28073,750,9.2566,7.1704,12.597,0,0,0,0,0,0,33.996,8.2867,11.64,1.5236,86.061462
-22.97906538,-43.22857862,53,15.22091961,37.77908039,343.8233827,345.89273,750,9.0974,6.9622,12.544,0,0,0,0,0,0,34.11,8.1696,11.496,1.5308,79.800461
-22.97904721,-43.22853303,53,15.1884861,37.8115139,348.7440857,350.7879,750,9.0946,7.0272,12.494,0,0,0,0,0,0,34.094,8.1344,11.407,1.541,76.280464
-22.97901082,-43.22847278,53,15.03206539,37.96793461,355.4744883,357.4964,750,8.1819,7.3961,12.393,0,0,0,0,0,0,34.016,8.1077,11.381,1.5703,76.262466
-22.97897443,-43.22841253,53,14.86911774,38.13088226,362.2300427,364.23148,750,7.8223,7.4855,12.291,0,0,0,0,0,0,33.935,8.0024,11.212,1.6033,79.667465
-22.97894509,-43.22836395,53,14.16102982,38.83897018,367.6954467,369.741,750,7.8091,7.4124,12.201,0,0,0,0,0,0,33.581,7.9282,11.283,1.6388,81.053467
-22.97892991,-43.22832251,53,13.64485264,39.35514736,372.1708174,374.24582,750,7.9792,7.3264,12.152,0,0,0,0,0,0,33.322,7.8757,11.247,1.6579,79.222466
-22.97892124,-43.22828366,53,13.37022018,39.62977982,376.2558749,378.33716,750,8.0643,7.1565,12.121,0,0,0,0,0,0,33.185,7.8731,11.228,1.6685,77.046463
-22.97891256,-43.22824482,53,13.07904434,39.92095566,380.3410772,382.43042,750,8.2428,6.9974,12.089,0,0,0,0,0,0,33.04,7.8888,11.258,1.682,80.601463
-22.97879586,-43.22820739,53,12.5,40.5,386.6423564,388.75772,750,9.0426,6.4806,11.773,0,0,0,2,2.01098,1,32.75,7.4663,11.661,1.876,78.075462
-22.97878017,-43.22814765,53,12.5,40.5,392.9887656,395.07016,750,9.007,6.4173,11.725,0,0,0,0,0,0,32.75,7.4818,11.537,1.8922,81.265465
-22.97876971,-43.22810783,53,12.5,40.5,397.2199405,399.27927,750,9.0879,6.3518,11.695,0,0,0,0,0,0,32.75,7.3307,11.504,1.9009,78.341461
-22.97875663,-43.22805804,53,12.5,40.5,402.5091634,404.54156,750,9.0695,6.2308,11.658,0,0,0,0,0,0,32.75,7.3181,11.412,1.9113,80.806465
-22.97874617,-43.22801822,53,12.5,40.5,406.7407385,408.75211,750,9.0559,6.1769,11.63,0,0,0,0,0,0,32.75,7.2971,11.379,1.9188,85.841461
-22.97873571,-43.22797839,53,12.5,40.5,410.9724825,412.96323,750,9.0961,6.1423,11.602,0,0,0,0,0,0,32.75,7.2981,11.334,1.9255,92.291466
-22.97872264,-43.22792861,53,12.45008087,40.54991913,416.2623923,418.23279,750,9.1049,6.1139,11.567,0,0,0,0,0,0,32.725,7.4251,11.199,1.9334,77.693466
-22.97870956,-43.22787883,53,12.35507202,40.64492798,421.5525485,423.50745,750,8.9793,6.1754,11.533,0,0,0,0,0,0,32.678,7.2484,11.211,1.9423,77.268463
-22.9786991,-43.227839,53,12.27616787,40.72383213,425.7848447,427.72791,750,8.8099,6.2042,11.505,0,0,0,0,0,0,32.638,7.2498,11.14,1.9499,83.618462
-22.97869099,-43.22780757,53,12.21336555,40.78663445,429.1214,431.05536,750,8.9285,6.125,11.482,0,0,0,0,0,0,32.607,7.2618,11.097,1.9568,75.099464
-22.97868172,-43.22777165,53,12.13446045,40.86553955,432.934699,434.85913,750,8.6236,6.3124,11.458,0,0,0,0,0,0,32.567,7.1623,11.108,1.9646,77.471466
-22.97867245,-43.22773573,53,12.07971001,40.92028999,436.7480946,438.66089,750,8.5721,6.3593,11.433,0,0,0,0,0,0,32.54,7.1847,11.093,1.9729,77.616463
-22.97866087,-43.22769083,53,11.97336483,41.02663517,441.5149711,443.41702,750,8.6635,6.2019,11.401,0,0,0,0,0,0,32.487,7.169,10.989,1.9839,81.147461
-22.97864928,-43.22764593,53,11.88564587,41.11435413,446.28199,448.17184,750,8.6113,6.212,11.368,0,0,0,0,0,0,32.443,7.1687,10.941,1.9953,82.494461
-22.97864001,-43.22761002,53,11.7979269,41.2020731,450.0957045,451.9776,750,8.4052,6.3564,11.343,0,0,0,0,0,0,32.399,7.0229,10.99,2.0055,79.827461
-22.97863074,-43.2275741,53,11.71020699,41.28979301,453.909505,455.7836,750,8.4493,6.2896,11.317,0,0,0,0,0,0,32.355,6.9722,10.968,2.0154,77.214462
-22.97862147,-43.22753818,53,11.64832497,41.35167503,457.7233894,459.58749,750,8.4127,6.1834,11.291,0,0,0,0,0,0,32.324,6.8992,10.884,2.0263,80.255463
-22.97861221,-43.22750226,53,11.560606,41.439394,461.5373555,463.39395,750,8.3658,6.1824,11.263,0,0,0,0,0,0,32.28,6.888,10.848,2.0375,79.219467
-22.97860178,-43.22746185,53,11.5,41.5,465.8281627,467.6731,750,8.272,6.2162,11.234,0,0,0,0,0,0,32.25,6.8946,10.81,2.0496,79.994461
-22.97859135,-43.22742144,53,11.5,41.5,470.1190681,471.94724,750,8.1561,6.3126,11.205,0,0,0,0,0,0,32.25,6.8959,10.793,2.0628,79.458466
-22.97858234,-43.22738703,53,11.5,41.5,473.7764235,475.59052,750,8.1566,6.2832,11.179,0,0,0,0,0,0,32.25,6.8572,10.757,2.0717,78.525467
-22.97857201,-43.22734968,53,11.5,41.5,477.760007,479.55905,750,8.0858,6.306,11.152,0,0,0,0,0,0,32.25,6.788,10.712,2.083,77.844467
-22.97855756,-43.22729738,53,11.5,41.5,483.3372722,485.11563,750,7.9855,6.422,11.118,0,0,0,0,0,0,32.25,6.7497,10.715,2.0971,78.502464
-22.97854207,-43.22724135,53,11.5,41.5,489.3132248,491.06995,750,7.8801,6.4934,11.079,0,0,0,0,0,0,32.25,6.7019,10.715,2.1103,76.390465
-22.97852762,-43.22718906,53,11.5,41.5,494.8910611,496.62802,750,7.7783,6.4687,11.044,0,0,0,0,0,0,32.25,6.7282,10.655,2.1205,77.679466
-22.97851317,-43.22713676,53,11.5,41.5,500.469159,502.18683,750,7.7904,6.522,11.011,0,0,0,0,0,0,32.25,6.6612,10.664,2.1326,76.310463
-22.97849872,-43.22708447,53,11.5,41.5,506.0475098,507.74631,750,7.7604,6.4098,10.977,0,0,0,0,0,0,32.25,6.6588,10.571,2.1424,83.20446
-22.97848426,-43.22703217,53,11.57575798,41.42424202,511.6261054,513.30035,750,7.6592,6.4434,10.946,0,0,0,0,0,0,32.288,6.6123,10.553,2.1505,81.163467
-22.97861821,-43.22697489,53,11.40625,41.59375,514.1934497,515.87299,750,8.4383,5.0752,10.999,0,0,0,0,0,0,32.203,6.4099,10.529,2.1971,76.674461
-22.97845778,-43.22692446,53,11.34290504,41.65709496,523.0340711,524.69037,750,7.5725,6.334,10.882,0,0,0,0,0,0,32.171,6.5957,10.436,2.1689,75.415466
-22.97858233,-43.22686907,53,10.5625,42.4375,525.6034295,527.31384,750,8.6202,4.8028,10.903,0,0,0,0,0,0,31.781,6.3765,10.434,2.2356,80.751465
-22.97856319,-43.22681264,53,10.11281967,42.88718033,531.6911209,533.41797,750,8.4168,4.8445,10.848,0,0,0,0,0,0,31.556,6.2856,10.473,2.2653,79.840462
-22.97854166,-43.22674915,53,9.923119545,43.07688046,538.5416544,540.26172,750,8.5315,4.7876,10.786,0,0,0,0,0,0,31.462,6.1967,10.426,2.3001,78.502464
-22.97852507,-43.22669093,53,9.688959122,43.31104088,544.753133,546.47217,750,8.5702,4.7193,10.732,0,0,0,0,0,0,31.344,6.2562,10.387,2.3353,78.769463
-22.97851284,-43.22663546,53,9.482956886,43.51704311,550.58943,552.30652,750,8.5526,4.691,10.681,0,0,0,0,0,0,31.241,6.2698,10.343,2.3707,81.831467
-22.97845838,-43.22658607,53,9.453315735,43.54668427,556.8035388,558.50378,750,8.6674,4.6791,10.625,0,0,0,0,0,0,31.227,6.3986,10.085,2.3658,82.504463
-22.97849203,-43.22652245,53,8.937569618,44.06243038,562.3870219,564.11047,750,8.3979,4.5919,10.576,0,0,0,0,0,0,30.969,6.2545,10.258,2.4546,79.544464
-22.97848328,-43.22646849,53,8.854204178,44.14579582,567.9930077,569.70599,750,8.3521,4.548,10.524,0,0,0,0,0,0,30.927,6.1812,10.215,2.4991,85.728462
-22.9784741,-43.22641184,53,9.100885391,43.89911461,573.8793549,575.55597,750,8.3733,4.4564,10.473,0,0,0,0,0,0,31.05,6.1688,10.141,2.5387,89.552467
-22.97842633,-43.22632348,53,9.606482506,43.39351749,583.8300806,585.44049,750,8.619,4.3587,10.396,0,0,0,0,0,0,31.303,6.2084,9.9736,2.5487,80.655464
-22.97841983,-43.22632309,53,9.669878006,43.33012199,584.0213101,585.62646,750,8.5051,4.538,10.396,0,0,0,0,0,0,31.335,6.2379,10.003,2.5405,84.941467
-22.97845346,-43.22624263,53,9.708799362,43.29120064,591.3057789,592.88843,750,8.2829,4.3615,10.341,0,0,0,0,0,0,31.354,5.9947,10.049,2.6323,82.791466
-22.9784487,-43.22618321,53,9.880630493,43.11936951,597.370062,598.92426,750,8.3382,4.2759,10.3,0,0,0,0,0,0,31.44,5.9999,9.9737,2.6572,82.798462
-22.97840526,-43.22612626,53,10.28312874,42.71687126,604.0638563,605.57233,750,8.4314,4.1736,10.262,0,0,0,0,0,0,31.642,6.1663,9.8667,2.6272,82.880463
-22.97843705,-43.22606704,53,10.25331879,42.74668121,609.2809085,610.77863,750,8.3336,4.1328,10.228,0,0,0,0,0,0,31.627,6.0153,9.8259,2.6955,96.101463
-22.97843147,-43.22600717,53,10.5,42.5,615.4103277,616.8761,750,8.1749,4.1855,10.196,0,0,0,0,0,0,31.75,6.0036,9.7952,2.7095,85.942467
-22.97842632,-43.22595191,53,10.5,42.5,621.0687882,622.52124,750,8.2058,4.1608,10.168,0,0,0,0,0,0,31.75,5.9529,9.7646,2.7214,87.202461
-22.97842116,-43.22589665,53,10.5,42.5,626.7277483,628.16711,750,8.0598,4.2428,10.139,0,0,0,0,0,0,31.75,5.8962,9.8035,2.7323,92.563461
-22.97841558,-43.22583679,53,10.5,42.5,632.8588366,634.2843,750,8.1627,4.1055,10.111,0,0,0,0,0,0,31.75,5.985,9.6762,2.7431,95.725464
-22.97841,-43.22577692,53,10.5,42.5,638.9904789,640.40228,750,8.2085,3.9605,10.083,0,0,0,0,0,0,31.75,6.0536,9.5238,2.754,88.137466
-22.97840442,-43.22571706,53,10.5,42.5,645.1226596,646.52106,750,8.106,4.0108,10.053,0,0,0,0,0,0,31.75,6.1344,9.4777,2.7623,92.283463
-22.97839856,-43.22566038,53,10.5,42.5,650.9411191,652.32709,750,7.8329,4.1851,10.028,0,0,0,0,0,0,31.75,6.1943,9.5045,2.7709,91.800461
-22.97838721,-43.22560016,53,10.5,42.5,657.2339424,658.60663,750,7.8894,4.0916,9.9987,0,0,0,0,0,0,31.75,6.1871,9.4251,2.7715,92.617462
-22.97837699,-43.22554596,53,10.5,42.5,662.8974867,664.25848,750,7.756,4.1131,9.9748,0,0,0,0,0,0,31.75,6.1832,9.4301,2.7733,85.765465
-22.97836564,-43.22548573,53,10.442029,42.557971,669.190317,670.54224,750,7.8201,4.0011,9.944,0,0,0,0,0,0,31.721,6.1772,9.3515,2.7745,86.477463
-22.97835429,-43.22542551,53,10.31884003,42.68115997,675.483151,676.8302,750,7.645,4.0074,9.9176,0,0,0,0,0,0,31.659,6.165,9.3618,2.7767,96.154465
-22.97834407,-43.22537131,53,10.22463799,42.77536201,681.1467045,682.48853,750,7.7119,3.9307,9.8894,0,0,0,0,0,0,31.612,6.1876,9.2837,2.7803,90.849464
-22.97833271,-43.22531109,53,10.12318802,42.87681198,687.4395451,688.77539,750,7.645,3.8514,9.8605,0,0,0,0,0,0,31.562,6.1914,9.2402,2.7843,86.764465
-22.97832363,-43.22526291,53,10.02898598,42.97101402,692.4738199,693.80579,750,7.5783,3.8012,9.8369,0,0,0,0,0,0,31.514,6.209,9.2015,2.7875,71.110466
-22.97831341,-43.22520871,53,9.925973892,43.07402611,698.1373815,699.4649,750,7.5451,3.7564,9.809,0,0,0,0,0,0,31.463,6.2123,9.1674,2.7922,90.160461
