freq,dist,heigth,PL,RX,veg_depth,los_nlos,ea
27,88.1,49,108.7968333,RX1,6.36,1,5897.55168
27,80.8,49,108.2768333,RX2,2.57,1,962.99442
27,82.8,49,110.6801667,RX4,0,0,0
27,98.8,49,109.8935,RX5,0,0,0
27,97.8,53,108.4668333,RX6,0,0,0
27,83.5,53,110.0535,RX7,0,0,0
27,72.8,53,108.3568333,RX8,0,0,0
27,75.9,52,107.4101667,RX9,0,0,0
27,60,53,108.2501667,RX10,1.23,1,220.58082
27,55.2,53,104.4368333,RX11,0,0,0
27,54.3,52,106.6435,RX12,0,0,0
27,173.7,39,115.4635,RX14,0,0,0
27,159.1,46,114.4635,RX15,0,0,0
27,126.5,49,113.0135,RX16,2.24,1,731.56608
27,65.8,21,106.1535,RX17,0,0,0
27,66.1,21,106.1835,RX18,0,0,0
27,83.8,21,107.8735,RX19,0,0,0
27,106.1,15,110.6135,RX20,0,0,0
27,94.8,15,108.3068333,RX21,0,0,0
27,271,41,118.1868333,RX22,0,0,0
27,234.7,41,118.6168333,RX23,0,0,0
28,88.1,49,107.594,RX1,6.36,1,6342.49728
28,80.8,49,107.864,RX2,2.57,1,1035.64832
28,82.8,49,111.0873333,RX4,0,0,0
28,98.8,49,109.1606667,RX5,0,0,0
28,97.8,53,108.1073333,RX6,0,0,0
28,83.5,53,109.6673333,RX7,0,0,0
28,72.8,53,109.7206667,RX8,0,0,0
28,75.9,52,106.314,RX9,0,0,0
28,60,53,105.0806667,RX10,1.23,1,237.22272
28,55.2,53,101.884,RX11,0,0,0
28,54.3,52,105.9606667,RX12,0,0,0
28,173.7,39,113.6673333,RX14,0,0,0
28,159.1,46,112.6673333,RX15,0,0,0
28,126.5,49,111.0706667,RX16,2.24,1,786.75968
28,65.8,21,109.8006667,RX17,0,0,0
28,66.1,21,105.5373333,RX18,0,0,0
28,83.8,21,106.8206667,RX19,0,0,0
28,106.1,15,109.694,RX20,0,0,0
28,94.8,15,107.2173333,RX21,0,0,0
