Sample,Long_Rx,Lat_Rx,h_tx,h_rx,delta_tx_rx,freq,Distance,avg_building_heigth,avg_vegetation_heigth,avg_ground_heigth,std_building,std_vegetation,std_ground,building_depth_2d,n_building,vegetation_depth_2d,n_intersection_veg,min_building,min_vegetation,min_ground,max_building,max_vegetation,max_ground,Pw,PL,RMS DS
3,-43.23534,-22.977793,3,3.5,0.5,735,78.747673,8.5506,11.728,17.455,9.2693,14.246,0.42227,2.1128,1,26.812,2,0,0,17,26,33,18.911,-12.805277,26.535277,2.3976026
4,-43.23534,-22.977793,3,3.5,0.5,735,78.747673,8.5506,11.728,17.455,9.2693,14.246,0.42227,2.1128,1,26.812,2,0,0,17,26,33,18.911,-12.352693,26.082693,2.4709549
5,-43.23534,-22.977793,3,3.5,0.5,735,78.747673,8.5506,11.728,17.455,9.2693,14.246,0.42227,2.1128,1,26.812,2,0,0,17,26,33,18.911,-12.380136,26.110136,2.4784555
6,-43.23534,-22.977793,3,3.5,0.5,735,78.747673,8.5506,11.728,17.455,9.2693,14.246,0.42227,2.1128,1,26.812,2,0,0,17,26,33,18.911,-12.520537,26.250537,2.3401232
7,-43.23534,-22.977793,3,3.5,0.5,735,78.747673,8.5506,11.728,17.455,9.2693,14.246,0.42227,2.1128,1,26.812,2,0,0,17,26,33,18.911,-13.016696,26.746696,2.4312384
8,-43.23534,-22.977793,3,3.5,0.5,735,78.747673,8.5506,11.728,17.455,9.2693,14.246,0.42227,2.1128,1,26.812,2,0,0,17,26,33,18.911,-13.254624,26.984624,2.4438956
9,-43.23534,-22.977793,3,3.5,0.5,735,78.747673,8.5506,11.728,17.455,9.2693,14.246,0.42227,2.1128,1,26.812,2,0,0,17,26,33,18.911,-12.607411,26.337411,2.5037086
10,-43.235329,-22.977806,3,3.5,0.5,735,80.570091,8.2593,12.102,17.45,9.1262,14.265,0.41886,1.1284,1,29.674,2,0,0,17,26,33,18.911,-12.861287,26.591287,2.4326024
11,-43.235329,-22.977806,3,3.5,0.5,735,80.570091,8.2593,12.102,17.45,9.1262,14.265,0.41886,1.1284,1,29.674,2,0,0,17,26,33,18.911,-12.537527,26.267527,2.112807
12,-43.235329,-22.977806,3,3.5,0.5,735,80.570091,8.2593,12.102,17.45,9.1262,14.265,0.41886,1.1284,1,29.674,2,0,0,17,26,33,18.911,-12.848369,26.578369,2.1017199
