Sample,Long_Rx,Lat_Rx,h_tx,h_rx,delta_tx_rx,freq,Distance,avg_building_heigth,avg_vegetation_heigth,avg_ground_heigth,std_building,std_vegetation,std_ground,building_depth_2d,n_building,vegetation_depth_2d,n_intersection_veg,min_building,min_vegetation,min_ground,max_building,max_vegetation,max_ground,Pw,PL,RMS DS
2,-43.229637,-22.974712,3,3.5,0.5,3500,258.14343,1.64,18.647,9.541,3.7894,9.9715,1.3444,2.8997,1,188.92,7,0,0,7.4554,16,29,11.986,-50.832539,71.452539,0.75496799
3,-43.229637,-22.974712,3,3.5,0.5,3500,258.14343,1.64,18.647,9.541,3.7894,9.9715,1.3444,2.8997,1,188.92,7,0,0,7.4554,16,29,11.986,-57.25626,77.87626,1.9049457
4,-43.229622,-22.97471,3,3.5,0.5,3500,256.82602,1.6722,18.53,9.528,3.8602,10.062,1.3356,4.8505,2,186.46,7,0,0,7.4554,16,29,11.966,-49.085499,69.705499,0.17534064
5,-43.229622,-22.97471,3,3.5,0.5,3500,256.82602,1.6722,18.53,9.528,3.8602,10.062,1.3356,4.8505,2,186.46,7,0,0,7.4554,16,29,11.966,-54.090633,74.710633,0.13837732
6,-43.229622,-22.97471,3,3.5,0.5,3500,256.82602,1.6722,18.53,9.528,3.8602,10.062,1.3356,4.8505,2,186.46,7,0,0,7.4554,16,29,11.966,-53.42728,74.04728,0.15144803
7,-43.22961,-22.974707,3,3.5,0.5,3500,255.50862,1.6943,18.647,9.516,3.9558,9.957,1.3278,5.0501,3,178.62,8,0,0,7.4554,22,29,11.95,-48.098133,68.718133,0.87334812
8,-43.229599,-22.974703,3,3.5,0.5,3500,254.19122,1.6931,18.772,9.5035,3.9382,9.8924,1.32,4.2137,2,179.75,7,0,0,7.4554,22,29,11.95,-49.887554,70.507554,1.6714492
10,-43.229561,-22.974691,3,3.5,0.5,3500,250.23904,1.6882,18.859,9.4652,3.9451,9.858,1.2944,4.2094,2,177.86,7,0,0,7.4554,22,29,11.9,-54.762604,75.382604,1.7779377
11,-43.229549,-22.974689,3,3.5,0.5,3500,248.92166,1.8183,18.678,9.4523,4.1385,10.071,1.2845,6.189,3,175.66,5,0,0,7.4554,23.5,29,11.887,-52.233028,72.853028,0.84714818
13,-43.229488,-22.97467,3,3.5,0.5,3500,242.33485,1.6512,19.062,9.3887,3.773,9.77,1.2419,2.8582,1,180.8,5,0,0,7.4554,16,29,11.682,-52.561008,73.181008,0.086256124
15,-43.229439,-22.974657,3,3.5,0.5,3500,237.06554,1.7426,18.971,9.34,3.8833,9.9103,1.2098,3.9043,2,176.28,6,0,0,7.4554,16,29,11.515,-52.318142,72.938142,0.082294039
17,-43.229378,-22.97464,3,3.5,0.5,3500,230.47906,1.763,18.813,9.2811,3.929,9.9013,1.1746,5.2837,4,171.47,5,0,0,7.4554,16,29,11.306,-53.672935,74.292935,0.82255661
18,-43.22934,-22.974628,3,3.5,0.5,3500,226.5273,1.7941,18.666,9.2474,3.9566,9.9285,1.1555,5.3865,4,167.63,5,0,0,7.4554,16,29,11.167,-50.753784,71.373784,0.19463769
19,-43.229317,-22.974621,3,3.5,0.5,3500,223.89282,1.9319,18.442,9.2254,4.1137,10.075,1.1431,6.2188,4,163.3,6,0,0,7.4554,16,29,11.07,-52.46352,73.08352,0.71233636
20,-43.229279,-22.974611,3,3.5,0.5,3500,219.94119,1.9966,18.377,9.194,4.223,10.113,1.1278,8.3425,5,161.88,5,0,0,7.4554,16,29.5,10.959,-50.825066,71.445066,1.200958
