image_id,Long_Rx,Lat_Rx,Decimal Hour Rx,Long_Tx,Lat_Tx,Decimal Hour Tx,Pw,PL,rms_delay_ns,mean_delay,rms_delay,d,dx,dy,relative speed,vx,vy
0.png,-43.31236284,-23.0071456,11.36654444,-43.31191536,-23.007349,11.36644444,-45.32154028,62.32154028,16.825934,0.07429025,0.016825934,51.10622344,22.02228491,46.11794707,0,0,0
1.png,-43.31235816,-23.0071474,11.36667028,-43.3119145,-23.0073562,11.36664444,-44.23783635,61.23783635,153.963757,0.137692134,0.153963757,51.02320938,22.62341472,45.73345605,0.282673722,0.125335997,0.253367955
2.png,-43.3123484,-23.0071502,11.36683083,-43.31191406,-23.0073598,11.36674444,-44.74840062,61.74840062,146.023652,0.139971572,0.146023652,50.21426146,22.71436751,44.78313927,0.646292015,0.292349502,0.576389744
3.png,-43.31234336,-23.00715128,11.36694778,-43.3119132,-23.007367,11.36694444,-45.12699401,62.12699401,156.048717,0.152677011,0.156048717,50.15393467,23.39588013,44.36270907,0.271868246,0.126821493,0.240475886
4.png,-43.31233424,-23.00715296,11.36707806,-43.31191277,-23.0073706,11.36704444,-45.1379758,62.1379758,153.335856,0.154828301,0.153335856,49.47567559,23.61152298,43.47802269,0.552179404,0.263519326,0.485241856
5.png,-43.3123238,-23.0071558,11.36732528,-43.31191232,-23.0073782,11.36724444,-44.32121395,61.32121395,236.260898,0.3019008,0.236260898,48.84749277,24.14359812,42.46368118,0.272615085,0.134744051,0.236987395
6.png,-43.31231624,-23.00715904,11.36745972,-43.3119152,-23.007389,11.36744444,-43.96883913,60.96883913,173.078399,0.240461152,0.173078399,48.3618454,24.98766292,41.40633758,0.377880974,0.195244047,0.323533294
7.png,-43.31229944,-23.0071658,11.36759417,-43.31191664,-23.0073944,11.36754444,-44.28156083,61.28156083,167.06313,0.245204792,0.16706313,46.70073988,24.84209175,39.54528522,1.26198714,0.671304146,1.068626354
8.png,-43.31228972,-23.0071694,11.36770333,-43.31191808,-23.0073998,11.36764444,-44.33647619,61.33647619,142.282564,0.136062948,0.142282564,45.85416481,25.04628131,38.4094809,0.457291682,0.249780062,0.383047782
9.png,-43.31228,-23.007173,11.36783361,-43.31191952,-23.0074052,11.36774444,-44.45230616,61.45230616,156.880613,0.147316003,0.156880613,45.02162951,25.25080252,37.27390637,0.457291658,0.256476309,0.378596835
10.png,-43.312271,-23.00717588,11.36795056,-43.3119224,-23.007416,11.36794444,-44.30354405,61.30354405,153.799718,0.225878873,0.153799718,44.54539391,26.13748396,36.07109717,0.255714556,0.150043237,0.207067528
11.png,-43.31225292,-23.00718172,11.36809806,-43.31192384,-23.0074214,11.36804444,-44.24228786,61.24228786,165.372103,0.247690989,0.165372103,42.92641089,26.09730556,34.08236193,1.347134169,0.818996308,1.069586611
12.png,-43.31224356,-23.00718496,11.36824111,-43.31192571,-23.00742755,11.36814444,-43.83706102,60.83706102,141.358267,0.159546399,0.141358267,42.23191802,26.4270765,32.94153196,0.31690906,0.198309249,0.247193838
13.png,-43.3122342,-23.0071882,11.36837556,-43.31192955,-23.00744003,11.36834444,-46.41984686,63.41984686,129.742865,0.117613432,0.129742865,41.87128852,27.46384585,31.6060433,0.412606343,0.270633109,0.311450982
14.png,-43.31221964,-23.0071939,11.36849333,-43.31193147,-23.00744627,11.36844444,-44.67076917,61.67076917,133.860565,0.125936474,0.133860565,40.66776593,27.53400381,29.92901301,0.902108874,0.610770437,0.663897502
15.png,-43.31221316,-23.0071966,11.36862333,-43.31193339,-23.00745251,11.36854444,-45.2280203,62.2280203,132.843136,0.125896493,0.132843136,40.32115562,27.9340938,29.07717308,0.009973168,0.006909311,0.007192044
16.png,-43.3122002,-23.007202,11.36887056,-43.31193915,-23.00747123,11.36884444,-44.81488412,61.81488412,142.740763,0.131463299,0.142740763,40.06469951,27.1828813,29.43248395,0.698582615,0.473970566,0.513195452
17.png,-43.31218564,-23.00720852,11.36898278,-43.31194113,-23.00747753,11.36894444,-45.1811911,62.1811911,131.308013,0.120918692,0.131308013,38.93386498,25.49968513,29.42128312,0.931503245,0.610086861,0.703912153
18.png,-43.31217736,-23.00721248,11.36911306,-43.31194317,-23.00748389,11.36904444,-44.52347018,61.52347018,132.490563,0.121172094,0.132490563,38.46859272,24.45137757,29.69785784,0.220708987,0.140286878,0.170387936
19.png,-43.3121688,-23.00721644,11.36923,-43.31194521,-23.00749025,11.36914444,-44.91421532,61.91421532,133.066515,0.124207002,0.133066515,38.01161102,23.37449693,29.97524754,0.246299786,0.151457237,0.194227418
