Tx Floor,Rx Floor,Tx Index,Rx Index,f,d,nw,PL
2,2,1,2,28,20,4,124.687
2,2,1,3,28,20,1,97.938
2,2,1,4,28,0.09,8,128.958
2,2,1,5,28,40,2,110.117
2,2,1,6,28,34.64,9,121.169
2,2,1,7,28,60,3,124.298
2,2,1,8,28,56.57,7,120.484
2,2,1,9,28,80,4,129.964
2,2,1,10,28,77.46,8,127.943
2,2,2,1,28,20,4,124.428
2,2,2,3,28,0.09,7,132.613
2,2,2,4,28,20,0,76.85
2,2,2,5,28,34.64,8,138.161
2,2,2,6,28,40,0,82.672
2,2,2,7,28,56.57,9,147.886
2,2,2,8,28,60,0,84.976
2,2,2,9,28,77.46,9,158.324
2,2,2,10,28,80,0,86.818
2,2,3,1,28,20,1,98.217
2,2,3,2,28,0.09,7,127.823
2,2,3,4,28,20,1,98.261
2,2,3,5,28,20,1,96.525
2,2,3,6,28,0.13,4,112.006
2,2,3,7,28,40,2,116.105
2,2,3,8,28,34.64,4,113.631
2,2,3,9,28,60,3,112.021
2,2,3,10,28,56.57,8,130.627
2,2,4,1,28,0.09,8,123.867
2,2,4,2,28,20,0,76.99
2,2,4,3,28,20,1,98.232
2,2,4,5,28,0.13,4,118.517
2,2,4,6,28,20,0,77.637
2,2,4,7,28,34.64,5,119.809
2,2,4,8,28,40,0,82.728
2,2,4,9,28,56.57,7,132.385
2,2,4,10,28,60,0,85.173
2,2,5,1,28,40,2,114.462
2,2,5,2,28,34.64,8,135.248
2,2,5,3,28,20,1,96.068
2,2,5,4,28,0.13,4,118.214
2,2,5,6,28,20,3,107.419
2,2,5,7,28,20,1,97.732
2,2,5,8,28,0.13,6,116.13
2,2,5,9,28,40,2,111.574
2,2,5,10,28,34.64,9,128.277
2,2,6,1,28,40,9,130.066
2,2,6,2,28,34.64,0,83.855
2,2,6,3,28,20,4,118.206
2,2,6,4,28,0.13,0,77.611
2,2,6,5,28,0,3,104.636
2,2,6,7,28,20,5,110.34
2,2,6,8,28,0.13,0,77.859
2,2,6,9,28,40,7,113.308
2,2,6,10,28,34.64,0,83.55
2,2,7,1,28,60,3,122.412
2,2,7,2,28,56.57,9,136.394
2,2,7,3,28,40,2,115.852
2,2,7,4,28,34.64,5,119.366
2,2,7,5,28,20,1,97.708
2,2,7,6,28,0.13,5,106.215
2,2,7,8,28,20,3,88.36
2,2,7,9,28,20,1,98.606
2,2,7,10,28,0.13,6,130.767
2,2,8,1,28,60,7,132.626
2,2,8,2,28,56.57,0,86.037
2,2,8,3,28,40,4,112.701
2,2,8,4,28,34.64,0,82.995
2,2,8,5,28,20,6,115.088
2,2,8,6,28,0.13,0,78.175
2,2,8,7,28,0,3,87.426
2,2,8,9,28,20,5,95.188
2,2,8,10,28,0.13,0,77.058
2,2,9,1,28,80,4,129.287
2,2,9,2,28,77.46,9,158.703
2,2,9,3,28,60,3,124.94
2,2,9,4,28,56.57,7,145.234
2,2,9,5,28,40,2,112.646
2,2,9,6,28,34.64,7,112.421
2,2,9,7,28,20,1,98.57
2,2,9,8,28,0.13,5,99.636
2,2,9,10,28,20,4,92.27
2,2,10,1,28,80,8,141.635
2,2,10,2,28,77.46,0,86.971
2,2,10,3,28,60,8,129.423
2,2,10,4,28,56.57,0,85.529
2,2,10,5,28,40,9,121.602
2,2,10,6,28,34.64,0,83.22
2,2,10,7,28,20,6,130.298
2,2,10,8,28,0.13,0,77.043
2,2,10,9,28,0,4,95.109
3,3,1,2,28,20,4,121.045
3,3,1,3,28,20,1,98.641
3,3,1,4,28,28.28,8,111.392
3,3,1,5,28,40,1,101.648
3,3,1,6,28,44.72,8,126.792
3,3,1,7,28,60,3,111.381
3,3,1,8,28,63.25,8,128.272
3,3,1,9,28,80,4,105.769
3,3,1,10,28,82.46,9,135.89
3,3,2,1,28,20,4,118.76
3,3,2,3,28,28.28,8,125.576
3,3,2,4,28,20,0,77.145
3,3,2,5,28,44.72,8,132
3,3,2,6,28,40,0,83.171
3,3,2,7,28,63.25,10,124.037
3,3,2,8,28,60,0,85.072
3,3,2,9,28,82.46,8,114.274
3,3,2,10,28,80,0,86.846
3,3,3,1,28,20,1,98.68
3,3,3,2,28,28.28,8,126.861
3,3,3,4,28,20,1,98.219
3,3,3,5,28,20,0,76.73
3,3,3,6,28,28.28,4,108.641
3,3,3,7,28,40,2,88.213
3,3,3,8,28,44.72,4,108.274
3,3,3,9,28,60,3,96.972
3,3,3,10,28,63.25,8,126.921
3,3,4,1,28,28.28,8,131.632
3,3,4,2,28,20,0,77.414
3,3,4,3,28,20,1,98.167
3,3,4,5,28,28.28,4,108.025
3,3,4,6,28,20,0,77.636
3,3,4,7,28,44.72,5,112.229
3,3,4,8,28,40,0,82.574
3,3,4,9,28,63.25,5,109.655
3,3,4,10,28,60,0,84.882
3,3,5,1,28,40,1,101.967
3,3,5,2,28,44.72,8,123.051
3,3,5,3,28,20,0,76.788
3,3,5,4,28,28.28,4,115.615
3,3,5,6,28,20,3,105.84
3,3,5,7,28,20,2,85.115
3,3,5,8,28,28.28,4,106.6
3,3,5,9,28,40,3,92.773
3,3,5,10,28,44.72,9,117.703
3,3,6,1,28,44.72,8,124.865
3,3,6,2,28,40,0,84.105
3,3,6,3,28,28.28,4,108.633
3,3,6,4,28,20,0,77.532
3,3,6,5,28,20,3,102.579
3,3,6,7,28,28.28,5,103.645
3,3,6,8,28,20,0,77.25
3,3,6,9,28,44.72,6,100.537
3,3,6,10,28,40,0,82.324
3,3,7,1,28,60,3,108.674
3,3,7,2,28,63.25,10,124.229
3,3,7,3,28,40,2,88.072
3,3,7,4,28,44.72,5,114.72
3,3,7,5,28,20,2,85.004
3,3,7,6,28,28.28,5,104.959
3,3,7,8,28,20,3,106.253
3,3,7,9,28,20,1,82.996
3,3,7,10,28,28.28,6,118.122
3,3,8,1,28,63.25,8,116.536
3,3,8,2,28,60,0,85.975
3,3,8,3,28,44.72,4,105.93
3,3,8,4,28,40,0,82.891
3,3,8,5,28,28.28,4,105.606
3,3,8,6,28,20,0,77.513
3,3,8,7,28,20,3,104.877
3,3,8,9,28,28.28,3,99.186
3,3,8,10,28,20,0,77.633
3,3,9,1,28,80,4,102.977
3,3,9,2,28,82.46,8,115.931
3,3,9,3,28,60,3,96.622
3,3,9,4,28,63.25,5,105.875
3,3,9,5,28,40,3,93.224
3,3,9,6,28,44.72,6,103.361
3,3,9,7,28,20,1,85.073
3,3,9,8,28,28.28,3,104.757
3,3,9,10,28,20,5,91.827
3,3,10,1,28,82.46,9,120.408
3,3,10,2,28,80,0,86.989
3,3,10,3,28,63.25,8,116.915
3,3,10,4,28,60,0,85.333
3,3,10,5,28,44.72,9,114.426
3,3,10,6,28,40,0,82.36
3,3,10,7,28,28.28,6,115.125
3,3,10,8,28,20,0,77.471
3,3,10,9,28,20,5,92.259
4,4,1,2,28,20,4,119.792
4,4,1,3,28,20,1,97.962
4,4,1,4,28,28.284,8,110.883
4,4,1,5,28,40,3,119.566
4,4,1,6,28,44.721,9,123.209
4,4,1,7,28,60,5,122.763
4,4,1,8,28,63.245,7,129.929
4,4,1,9,28,80,6,106.183
4,4,1,10,28,82.462,8,144.381
4,4,2,1,28,20,4,118.806
4,4,2,3,28,28.284,8,129.215
4,4,2,4,28,20,0,77.145
4,4,2,5,28,44.721,9,133.852
4,4,2,6,28,40,0,83.226
4,4,2,7,28,63.245,8,129.673
4,4,2,8,28,60,0,85.102
4,4,2,9,28,82.462,8,125.574
4,4,2,10,28,80,0,86.643
4,4,3,1,28,20,1,97.999
4,4,3,2,28,28.284,8,117.857
4,4,3,4,28,20,1,98.149
4,4,3,5,28,20,2,111.155
4,4,3,6,28,28.284,4,114.621
4,4,3,7,28,40,4,115.874
4,4,3,8,28,44.721,3,116.384
4,4,3,9,28,60,5,104.39
4,4,3,10,28,63.245,6,116.678
4,4,4,1,28,28.284,8,120.599
4,4,4,2,28,20,0,77.414
4,4,4,3,28,20,1,97.939
4,4,4,5,28,28.284,4,116.314
4,4,4,6,28,20,0,77.651
4,4,4,7,28,44.721,4,119.281
4,4,4,8,28,40,0,82.526
4,4,4,9,28,63.245,6,109.166
4,4,4,10,28,60,0,84.902
4,4,5,1,28,40,3,123.679
4,4,5,2,28,44.721,9,130.794
4,4,5,3,28,20,2,101.984
4,4,5,4,28,28.284,4,118.07
4,4,5,6,28,20,3,105.528
4,4,5,7,28,20,2,100.026
4,4,5,8,28,28.284,3,105.037
4,4,5,9,28,40,3,106.184
4,4,5,10,28,44.721,7,115.788
4,4,6,1,28,44.721,8,131.295
4,4,6,2,28,40,0,84.104
4,4,6,3,28,28.284,4,108.748
4,4,6,4,28,20,0,77.752
4,4,6,5,28,20,3,105.426
4,4,6,7,28,28.284,3,107.905
4,4,6,8,28,20,0,77.369
4,4,6,9,28,44.721,6,102.217
4,4,6,10,28,40,0,82.299
4,4,7,1,28,60,5,111.406
4,4,7,2,28,63.245,8,134.56
4,4,7,3,28,40,4,112.873
4,4,7,4,28,44.721,4,120.082
4,4,7,5,28,20,2,99.132
4,4,7,6,28,28.284,3,109.034
4,4,7,8,28,20,3,107.277
4,4,7,9,28,20,1,83.022
4,4,7,10,28,28.284,6,124.968
4,4,8,1,28,63.245,7,127.968
4,4,8,2,28,60,0,86.095
4,4,8,3,28,44.721,3,118.021
4,4,8,4,28,40,0,83.087
4,4,8,5,28,28.284,3,103.317
4,4,8,6,28,20,0,77.585
4,4,8,7,28,20,3,104.938
4,4,8,9,28,28.284,5,99.367
4,4,8,10,28,20,0,77.633
4,4,9,1,28,80,6,102.722
4,4,9,2,28,82.462,8,117.631
4,4,9,3,28,60,5,106.137
4,4,9,4,28,63.245,6,105.547
4,4,9,5,28,40,3,103.716
4,4,9,6,28,44.721,6,102.32
4,4,9,7,28,20,1,85.234
4,4,9,8,28,28.284,5,104.063
4,4,9,10,28,20,5,91.847
4,4,10,1,28,82.462,8,133.91
4,4,10,2,28,80,0,86.987
4,4,10,3,28,63.245,6,130.133
4,4,10,4,28,60,0,85.534
4,4,10,5,28,44.721,7,115.746
4,4,10,6,28,40,0,82.353
4,4,10,7,28,28.284,6,130.024
4,4,10,8,28,20,0,77.471
4,4,10,9,28,20,5,92.271
