f,d,dx,dy,nw,PL
26.5,6.59,6.3,1.94,0.5,112.1982
26.5,11.76,11.6,1.93,0.5,115.7627
26.5,9.04,8.9,1.6,0.75,122.5733
26.5,4.25,3.6,2.25,0.25,104.3808
26.5,3.5,2.7,2.22,0.25,100.786
26.5,4,4,0.01,0.25,81.9267
26.5,4.83,4.35,2.1,0.25,91.5933
26.5,5.78,5.3,2.3,0.75,116.58
26.5,11.57,2,11.4,0.75,113.2005
26.5,3.99,3.58,1.76,0.25,89.4339
26.5,5.21,4.27,2.98,0.25,102.9775
26.5,8.43,7.55,3.74,0.75,120.1363
26.5,8.43,7.55,3.74,0.75,125.2542
26.5,6.71,5.87,3.25,0.5,102.9924
26.5,10.46,10.3,1.8,0.5,93.5282
26.5,12.48,12.3,2.09,0.75,131.6461
26.5,9.68,9.3,2.69,0.5,114.0564
26.5,2.57,0,2.57,0.25,95.1069
26.5,7.36,6.9,2.57,0.5,112.1752
26.5,5.95,5.3,2.7,0.25,105.7301
26.5,5.14,4.5,2.48,0.5,108.3002
26.5,3.8,2.68,2.7,0.5,96.7682
26.5,11.03,10.8,2.25,0.5,120.0855
26.5,4.83,4.35,2.1,0.25,91.9898
26.5,4.42,3.5,2.7,0.25,92.2679
26.5,4.37,4.14,1.4,0.25,83.2539
26.5,7.02,6.17,3.35,0.5,103.2138
26.5,7.91,7.5,2.5,0.75,119.8725
26.5,5.37,4.89,2.21,0.75,115.7939
26.5,7.69,7.55,1.45,0.25,110.199
26.5,3.35,2.17,2.55,0.25,100.9895
26.5,9.98,9.9,1.28,0.75,113.5061
26.5,3.91,3.3,2.1,0.25,93.3649
26.5,4.37,4.14,1.4,0.5,117.0176
26.5,6.39,4.01,4.97,0.25,101.696
26.5,10.31,10.05,2.31,0.5,118.1767
26.5,6.93,6.6,2.1,0.75,126.8019
26.5,12.5,12.5,0,0.75,122.3467
26.5,4,4,0.01,0.25,78.6567
26.5,8.9,8.9,0,0.75,118.6767
27,6.59,6.3,1.94,0.5,114.5160606
27,11.76,11.6,1.93,0.5,124.2514583
27,9.04,8.9,1.6,0.75,119.81
27,4.25,3.6,2.25,0.25,105.0861458
27,3.5,2.7,2.22,0.25,100.6949123
27,4,4,0.01,0.25,81.12666667
27,4.83,4.35,2.1,0.25,94.12
27,5.78,5.3,2.3,0.75,124.96
27,11.57,2,11.4,0.75,104.1026667
27,3.99,3.58,1.76,0.25,87.61583333
27,5.21,4.27,2.98,0.25,106.7725641
27,8.43,7.55,3.74,0.75,128.4378788
27,8.43,7.55,3.74,0.75,126.2215152
27,6.71,5.87,3.25,0.5,109.8162745
27,10.46,10.3,1.8,0.5,95.70076923
27,12.48,12.3,2.09,0.75,131.4533333
27,9.68,9.3,2.69,0.5,113.6080392
27,2.57,0,2.57,0.25,92.1554955
27,7.36,6.9,2.57,0.5,112.129697
27,5.95,5.3,2.7,0.25,96.51019048
27,5.14,4.5,2.48,0.5,112.8117204
27,3.8,2.68,2.7,0.5,95.39489583
27,11.03,10.8,2.25,0.5,117.5618627
27,4.83,4.35,2.1,0.25,92.79864583
27,4.42,3.5,2.7,0.25,93.27225225
27,4.37,4.14,1.4,0.25,83.33539216
27,7.02,6.17,3.35,0.5,104.7971569
27,7.91,7.5,2.5,0.75,126.1879675
27,5.37,4.89,2.21,0.75,121.2364583
27,7.69,7.55,1.45,0.25,93.38428571
27,3.35,2.17,2.55,0.25,101.3773958
27,9.98,9.9,1.28,0.75,110.7955208
27,3.91,3.3,2.1,0.25,92.54927083
27,4.37,4.14,1.4,0.5,116.9245455
27,6.39,4.01,4.97,0.25,99.506
27,10.31,10.05,2.31,0.5,128.4206061
27,6.93,6.6,2.1,0.75,130.7262745
27,12.5,12.5,0,0.75,121.2933333
27,4,4,0.01,0.25,79.61666667
27,8.9,8.9,0,0.75,127.6233333
27.5,6.59,6.3,1.94,0.5,124.6102778
27.5,11.76,11.6,1.93,0.5,122.3192708
27.5,9.04,8.9,1.6,0.75,130.4533333
27.5,4.25,3.6,2.25,0.25,104.5339394
27.5,3.5,2.7,2.22,0.25,103.5888172
27.5,4,4,0.01,0.25,83.67333333
27.5,4.83,4.35,2.1,0.25,98.39333333
27.5,5.78,5.3,2.3,0.75,125.52
27.5,11.57,2,11.4,0.75,113.1270833
27.5,3.99,3.58,1.76,0.25,97.26833333
27.5,5.21,4.27,2.98,0.25,108.9024762
27.5,8.43,7.55,3.74,0.75,123.829
27.5,8.43,7.55,3.74,0.75,132.5342424
27.5,6.71,5.87,3.25,0.5,113.9688889
27.5,10.46,10.3,1.8,0.5,100.410303
27.5,12.48,12.3,2.09,0.75,133.3875269
27.5,9.68,9.3,2.69,0.5,125.3612121
27.5,2.57,0,2.57,0.25,91.54104762
27.5,7.36,6.9,2.57,0.5,116.0215686
27.5,5.95,5.3,2.7,0.25,101.2564583
27.5,5.14,4.5,2.48,0.5,110.1092708
27.5,3.8,2.68,2.7,0.5,95.98645833
27.5,11.03,10.8,2.25,0.5,133.5974359
27.5,4.83,4.35,2.1,0.25,96.37895833
27.5,4.42,3.5,2.7,0.25,96.20397849
27.5,4.37,4.14,1.4,0.25,85.64494624
27.5,7.02,6.17,3.35,0.5,109.7055914
27.5,7.91,7.5,2.5,0.75,134.1154955
27.5,5.37,4.89,2.21,0.75,127.7942708
27.5,7.69,7.55,1.45,0.25,100.0611905
27.5,3.35,2.17,2.55,0.25,100.1933333
27.5,9.98,9.9,1.28,0.75,112.7767708
27.5,3.91,3.3,2.1,0.25,98.07020833
27.5,4.37,4.14,1.4,0.5,122.4563636
27.5,6.39,4.01,4.97,0.25,99.50424242
27.5,10.31,10.05,2.31,0.5,117.848
27.5,6.93,6.6,2.1,0.75,132.3813333
27.5,12.5,12.5,0,0.75,123.0766667
27.5,4,4,0.01,0.25,82.20333333
27.5,8.9,8.9,0,0.75,134.34
28,6.59,6.3,1.94,0.5,130.8137255
28,11.76,11.6,1.93,0.5,119.7208974
28,9.04,8.9,1.6,0.75,127.3166667
28,4.25,3.6,2.25,0.25,110.8560417
28,3.5,2.7,2.22,0.25,98.20344086
28,4,4,0.01,0.25,82.77666667
28,4.83,4.35,2.1,0.25,99.58666667
28,5.78,5.3,2.3,0.75,119.5166667
28,11.57,2,11.4,0.75,111.6020513
28,3.99,3.58,1.76,0.25,98.17885417
28,5.21,4.27,2.98,0.25,98.82693694
28,8.43,7.55,3.74,0.75,124.0690909
28,8.43,7.55,3.74,0.75,131.9507292
28,6.71,5.87,3.25,0.5,116.1812121
28,10.46,10.3,1.8,0.5,100.2612381
28,12.48,12.3,2.09,0.75,133.8895238
28,9.68,9.3,2.69,0.5,120.2041026
28,2.57,0,2.57,0.25,94.25111111
28,7.36,6.9,2.57,0.5,121.7751961
28,5.95,5.3,2.7,0.25,99.94931373
28,5.14,4.5,2.48,0.5,105.2366667
28,3.8,2.68,2.7,0.5,96.18151515
28,11.03,10.8,2.25,0.5,117.3552778
28,4.83,4.35,2.1,0.25,94.99130952
28,4.42,3.5,2.7,0.25,94.67460784
28,4.37,4.14,1.4,0.25,85.28510417
28,7.02,6.17,3.35,0.5,109.8360417
28,7.91,7.5,2.5,0.75,133.6179825
28,5.37,4.89,2.21,0.75,128.2351042
28,7.69,7.55,1.45,0.25,103.2916667
28,3.35,2.17,2.55,0.25,99.10380952
28,9.98,9.9,1.28,0.75,115.3472549
28,3.91,3.3,2.1,0.25,96.08541667
28,4.37,4.14,1.4,0.5,121.1646078
28,6.39,4.01,4.97,0.25,101.1293939
28,10.31,10.05,2.31,0.5,121.8347917
28,6.93,6.6,2.1,0.75,132.8166667
28,12.5,12.5,0,0.75,122.6566667
28,4,4,0.01,0.25,78.05666667
28,8.9,8.9,0,0.75,126.4833333
28.5,6.59,6.3,1.94,0.5,117.7211765
28.5,11.76,11.6,1.93,0.5,113.2603226
28.5,9.04,8.9,1.6,0.75,115.9966667
