Tx_ind,Tx,Rx,f,d,dx,dy,nw,PL
1,Tx1,Copa,26.5,6.59,6.3,1.94,0.5,112.1982
1,Tx1,Lab 1,26.5,11.76,11.6,1.93,0.5,115.7627
1,Tx1,Lab 11a,26.5,9.04,8.9,1.6,0.75,122.5733
1,Tx1,Lab 3,26.5,4.25,3.6,2.25,0.25,104.3808
1,Tx1,Lab 4,26.5,3.5,2.7,2.22,0.25,100.786
1,Tx1,Lab 5,26.5,4,4,0.01,0.25,81.9267
1,Tx1,Lab 7,26.5,4.83,4.35,2.1,0.25,91.5933
1,Tx1,Lab 9,26.5,5.78,5.3,2.3,0.75,116.58
1,Tx1,Sala,26.5,11.57,2,11.4,0.75,113.2005
2,Tx2,Lab 25,26.5,3.99,3.58,1.76,0.25,89.4339
2,Tx2,Lab 26,26.5,5.21,4.27,2.98,0.25,102.9775
2,Tx2,Lab 26a,26.5,8.43,7.55,3.74,0.75,120.1363
2,Tx2,Lab 26a,26.5,8.43,7.55,3.74,0.75,125.2542
2,Tx2,Lab 27,26.5,6.71,5.87,3.25,0.5,102.9924
2,Tx2,Lobby,26.5,10.46,10.3,1.8,0.5,93.5282
3,Tx3,Lab 11b,26.5,12.48,12.3,2.09,0.75,131.6461
3,Tx3,Lab 13,26.5,9.68,9.3,2.69,0.5,114.0564
3,Tx3,Lab 16a,26.5,2.57,0,2.57,0.25,95.1069
3,Tx3,Lab 16b,26.5,7.36,6.9,2.57,0.5,112.1752
3,Tx3,Lab 17,26.5,5.95,5.3,2.7,0.25,105.7301
3,Tx3,Lab 19,26.5,5.14,4.5,2.48,0.5,108.3002
3,Tx3,Lab 21,26.5,3.8,2.68,2.7,0.5,96.7682
3,Tx3,Pasillo_Dep,26.5,11.03,10.8,2.25,0.5,120.0855
1,Tx1,Lab 7,26.5,4.83,4.35,2.1,0.25,91.9898
4,Tx4,Sala 1b,26.5,4.42,3.5,2.7,0.25,92.2679
4,Tx4,Sala 2,26.5,4.37,4.14,1.4,0.25,83.2539
4,Tx4,Sala 3,26.5,7.02,6.17,3.35,0.5,103.2138
4,Tx4,Sala 30a,26.5,7.91,7.5,2.5,0.75,119.8725
4,Tx4,Sala 30b,26.5,5.37,4.89,2.21,0.75,115.7939
4,Tx4,Sala 35,26.5,7.69,7.55,1.45,0.25,110.199
5,Tx5,Lab 10,26.5,3.35,2.17,2.55,0.25,100.9895
5,Tx5,Lab 11b,26.5,9.98,9.9,1.28,0.75,113.5061
5,Tx5,Lab 12,26.5,3.91,3.3,2.1,0.25,93.3649
4,Tx4,Sala 2,26.5,4.37,4.14,1.4,0.5,117.0176
5,Tx5,Lab 16b,26.5,6.39,4.01,4.97,0.25,101.696
5,Tx5,Lab 18,26.5,10.31,10.05,2.31,0.5,118.1767
5,Tx5,Lab 8,26.5,6.93,6.6,2.1,0.75,126.8019
6,Tx6,Lab 11a,26.5,12.5,12.5,0,0.75,122.3467
1,Tx1,Lab 5,26.5,4,4,0.01,0.25,78.6567
